Company:,Scotts ID:,Legal Name:,# of Employees:,Address:,Sales:,Square Footage:,Telephone:,Year Established:,Head Office:,Geocoded By:,Fax:,Web Site:,Census Division:,Executives:,NAICS:,Business Types:,Products:,Exporter (Y/N):,Location Address:
,81750111,,5,8A-155 Champagne Dr,Under $1 Million,"5,000",416-630-5559,2000,,Address,416-630-2706,www.yorkacademy.ca,"Toronto Metropolitan Municipality, ON",Mr. Vlad Protsenko-Mgr,"611510-Technical and Trade Schools
611430-Professional and Management Development Training",Educational Services,"Training courses: construction management, School: trade",N,"8A-155 Champagne DrToronto,ONM3J2C6"
Duff & Phelps Canada ltd,52384056,Duff & Phelps Canada ltd,100,1500-333 Bay St,Under $1 Million,,604-683-3231,,American Appraisal Canada Inc. - Div. of Duff-N Phelps1400-333 Bay StTorontoONM5H2R2,Address,604-688-6703,www.duffandphelps.com,"Toronto Metropolitan Municipality, ON",,"531320-Offices of Real Estate Appraisers
541990-All Other Professional, Scientific and Technical Services
524291-Claims Adjusters","Professional, Scientific & Technical Services
Insurance
Real Estate","Appraisers, Insurance appraisers, Real estate appraisers",N,"1500-333 Bay StVancouver,BCM5H2R2"
#NAME?,18744822,#NAME?,22,200-72 Stafford St,$1-5 Million,,416-588-6370,1972,#NAME?,Address,416-588-6327,www.ventingroup.com,"Toronto Metropolitan Municipality, ON","Mr. Peter Berton-Partner
Mr. Chris Hall-Partner
Mr. Dennis Vass-Man Partner Simco
Mr. Terry White-Partner","541310-Architectural Services
236210-Industrial Building and Structure Construction
236220-Commercial and Institutional Building Construction","Construction
Professional, Scientific & Technical Services","Architectural firm, Heritage restoration",N,"200-72 Stafford StToronto,ONM6J2R9"
01system,114256274,01system,,64 Saint Patrick St,N/A,,647-477-3461,2008,,Address,,www.01systemstudio.com,"Toronto Metropolitan Municipality, ON",Mr. James Meyer-Owner,512240-Sound Recording Studios,Information and Cultural Industries,Recording/sound studio,N,64 Saint Patrick StM5T1V1
123LIMO.ca,118915424,123LIMO.ca,13,260 Queens Quay W,$1-5 Million,,416-800-9913,,,Address,,123limo.ca,"Toronto Metropolitan Municipality, ON",Mr. Nick Williams-Mgr,"485320-Limousine Service
532111-Passenger Car Rental","Transportation and Warehousing
Rental and Leasing Services","Limousine service, Rental: limousine",N,"260 Queens Quay WToronto,ONM5J2N3"
180 Systems Inc.,32567226,180 Systems Inc.,3,111 Latimer Ave,Under $1 Million,,416-485-2200,2001,,Address,,www.180systems.com,"Toronto Metropolitan Municipality, ON",Mr. Michael Burns-Pres,541330-Engineering Services,"Professional, Scientific & Technical Services",Computer consultants,N,"111 Latimer AveToronto,ONM5N2M3"
1-800-GOT-JUNK?,110324874,1-800-GOT-JUNK?,35,9 Dibble St,$1-5 Million,,416-467-8717,1989,1-800-GOT-JUNK?301-887 Great Northern WayVancouverBCV5T4T5,Address,,www.1800gotjunk.com/ca_en/locations/junk-removal-toronto,"Toronto Metropolitan Municipality, ON",Mr. Josh Graham-Ops Mgr,562210-Waste Treatment and Disposal,"Administrative and Support, Waste Management and Remediation Services","Waste management services, Waste disposal",N,"9 Dibble StToronto,ONM4M2E7"
18Karat,18601725,18Karat,3,1156 Yonge St,Under $1 Million,750,416-593-1648,1961,,Address,416-593-1648,www.18karat.ca,"Toronto Metropolitan Municipality, ON","Mr. Dino Giannetti-VP
Mr. Massimo Giannetti-Pres","339910-Jewellery and Silverware Manufacturing
541990-All Other Professional, Scientific and Technical Services
448310-Jewellery Stores
811490-Other Personal and Household Goods Repair and Maintenance","Manufacturer
Retail
Services
Professional, Scientific & Technical Services","Jewellery store, Jewellery: silver, Jewellery: designer, Jewellery: fine custom, Jewellery: platinum gold, Diamonds, Jewellery repair, Watch repair, Appraisers: jewellery",YExport Countries:Worldwide,"1156 Yonge StToronto,ONM4W2L9"
2001 Audio Video,32820244,2001 Audio Video,5,1032 Bloor St W,N/A,,416-536-2001,1971,,Address,,www.2001audiovideo.com,"Toronto Metropolitan Municipality, ON",Mr. Joe DeMarco-Gen Sls Mgr,"443143-Appliance, Television and Other Electronics Stores-Primary",Retail,Electronic equipment store,N,"1032 Bloor St WToronto,ONM6H1M2"
247 Customer Canada Inc.,73125661,247 Customer Canada Inc.,116,530-20 Toronto St,N/A,,416-214-9337,2000,,Address,416-214-9958,www.247-inc.com,"Toronto Metropolitan Municipality, ON",,541514-Computer Systems Design and Related Services (Except Video Game Design and Development),"Professional, Scientific & Technical Services",Computer software development: answer technology,N,"530-20 Toronto StToronto,ONM5C2B8"
247 Pest Control,113409751,247 Pest Control,5,201B-1111 Finch Ave W,Under $1 Million,,416-844-2344,2007,,Address,,www.247pestcontrol.com,"Toronto Metropolitan Municipality, ON",Mr. Sajad Ahmad-Owner,561710-Exterminating and Pest Control Services,"Administrative and Support, Waste Management and Remediation Services",Pest control services,N,"201B-1111 Finch Ave WToronto,ONM3J2E5"
360 The Restaurant at CN Tower,19430199,360 The Restaurant at the CN Tower,450,301 Front St W,N/A,,416-362-5411,1976,,Address,416-601-4722,www.cntower.ca,"Toronto Metropolitan Municipality, ON","Mr. Peter George-Dir Exec Chef
Mr. Neil Jones-Dir-Ops
Ms. Irene Knight-Pub Rel Mgr
Mr. Jack Robinson-COO
Ms. Lisa Tompkins-Dir-Mktg","722511-Full-Service Restaurants
711322-Festivals without Facilities","Accommodation and Food Services
Arts, Entertainment and Recreation","Restaurant: full-service, Event planning",N,"301 Front St WToronto,ONM5V2T6"
3D Phacktory,120417705,3D Phacktory - 3D Printing and Design Studio,3,1134 Dundas St E,N/A,,416-462-0994,,,Address,,www.3dphacktory.com,"Toronto Metropolitan Municipality, ON",Mr. Ian Cameron-Prod Mgr,323119-Other Printing,Manufacturer,Printing: 3 D,,1134 Dundas St EM4M1S1
3magine Inc.,120417706,3magine Inc.,3,403-642 King St W,N/A,,416-551-6666,2009,,Address,,www.3magine.com,"Toronto Metropolitan Municipality, ON","Mr. Evan Cancelliere-Partner/Associate
Mr. Krystian Frencel-Partner/Associate
Mr. Karl Schellenberg-Partner/Associate",541514-Computer Systems Design and Related Services (Except Video Game Design and Development),"Professional, Scientific & Technical Services","Web site design services, Web site development",N,"403-642 King St WToronto,ONM5V1M7"
